# Title: Multiaperture UBVRIzJHK Photometry of Galaxies in the Coma Cluster 
# Authors: Eisenhardt P.R., De Propris R., Gonzalez A.H., Stanford S.A., 
#          Dickinson M., Wang M. 
# Table: UBVRIzJHK band response functions
# ================================================================================
# Byte-by-byte Description of file: datafile13.txt
# --------------------------------------------------------------------------------
#    Bytes Format Units Label  Explanations
# --------------------------------------------------------------------------------
#    1-  4 A4     ---   Filt   Filter 
#    6- 10 I5     0.1nm Wave   Wavelength in Angstroms
#   12- 28 F17.14 ---   Resp   Filter response at Wave
# --------------------------------------------------------------------------------
U     3050  0.               
U     3100  0.000117987      
U     3150  0.0010573        
U     3200  0.00422111       
U     3250  0.0142508        
U     3350  0.0773872        
U     3400  0.137695         
U     3450  0.223221         
U     3500  0.334892         
U     3550  0.475813         
U     3650  0.761144         
U     3700  0.868509         
U     3750  0.952832         
U     3800  1.               
U     3850  0.935325         
U     3950  0.497052         
U     4000  0.291718         
U     4050  0.171589         
U     4100  0.0814607        
U     4150  0.00740233       
U     4200  0.               
B     3600  0.               
B     3610  0.               
B     3620  0.00419808       
B     3630  0.0147285        
B     3640  0.021926         
B     3650  0.0302643        
B     3660  0.0444033        
B     3670  0.0587523        
B     3680  0.0736034        
B     3690  0.0889334        
B     3700  0.105012         
B     3710  0.121607         
B     3720  0.139179         
B     3730  0.157387         
B     3740  0.176299         
B     3750  0.195638         
B     3760  0.215817         
B     3770  0.23608          
B     3780  0.256747         
B     3790  0.277531         
B     3800  0.298574         
B     3810  0.320023         
B     3820  0.341313         
B     3830  0.362741         
B     3840  0.383973         
B     3850  0.405143         
B     3860  0.426084         
B     3870  0.446915         
B     3880  0.467477         
B     3890  0.488221         
B     3900  0.508366         
B     3910  0.528202         
B     3920  0.548029         
B     3930  0.567365         
B     3940  0.586191         
B     3950  0.604758         
B     3960  0.622747         
B     3970  0.640215         
B     3980  0.657161         
B     3990  0.673754         
B     4000  0.689673         
B     4010  0.705358         
B     4020  0.720154         
B     4030  0.734851         
B     4040  0.748732         
B     4050  0.762435         
B     4060  0.775486         
B     4070  0.788452         
B     4080  0.801024         
B     4090  0.813303         
B     4100  0.825611         
B     4110  0.837412         
B     4120  0.849027         
B     4130  0.860435         
B     4140  0.871789         
B     4150  0.882366         
B     4160  0.892842         
B     4170  0.902427         
B     4180  0.911484         
B     4190  0.919898         
B     4200  0.928303         
B     4210  0.935998         
B     4220  0.943479         
B     4230  0.950706         
B     4240  0.956916         
B     4250  0.963334         
B     4260  0.969166         
B     4270  0.974757         
B     4280  0.979562         
B     4290  0.984108         
